"POSTE" "cumul_precip" "temperature_moyenne" "annee" "mois" "fannee"
"458" "Perpignan" 27.8 "8,9" 2009 2 "2009"
"459" "Perpignan" 38 "12,2" 2009 3 "2009"
"460" "Perpignan" 136.6 "13,5" 2009 4 "2009"
"461" "Perpignan" 17.2 "18,8" 2009 5 "2009"
"462" "Perpignan" 25 "22,9" 2009 6 "2009"
"463" "Perpignan" 18.2 "24,9" 2009 7 "2009"
"464" "Perpignan" 10.8 "26" 2009 8 "2009"
"465" "Perpignan" 11.8 "21,4" 2009 9 "2009"
"466" "Perpignan" 49.8 "17,9" 2009 10 "2009"
"467" "Perpignan" 10.2 "13,4" 2009 11 "2009"
"468" "Perpignan" 14.4 "8,6" 2009 12 "2009"
"469" "Perpignan" 71.8 "6,6" 2010 1 "2010"
"470" "Perpignan" 49.4 "7" 2010 2 "2010"
"471" "Perpignan" 110.6 "9,9" 2010 3 "2010"
"472" "Perpignan" 21.4 "14,7" 2010 4 "2010"
"473" "Perpignan" 95.1 "16,7" 2010 5 "2010"
"474" "Perpignan" 16.6 "21,5" 2010 6 "2010"
"475" "Perpignan" 15.3 "25,9" 2010 7 "2010"
"476" "Perpignan" 4.4 "24,5" 2010 8 "2010"
"477" "Perpignan" 19.3 "20,4" 2010 9 "2010"
"478" "Perpignan" 173.9 "16,1" 2010 10 "2010"
"479" "Perpignan" 19.8 "11,2" 2010 11 "2010"
"480" "Perpignan" 8 "7,2" 2010 12 "2010"
"481" "Perpignan" 103.6 "7,7" 2011 1 "2011"
"482" "Perpignan" 46.8 "9,9" 2011 2 "2011"
"483" "Perpignan" 149.9 "11,7" 2011 3 "2011"
"484" "Perpignan" 68.1 "16,3" 2011 4 "2011"
"485" "Perpignan" 9.6 "19,2" 2011 5 "2011"
"486" "Perpignan" 46.4 "21" 2011 6 "2011"
"487" "Perpignan" 19.8 "23" 2011 7 "2011"
"488" "Perpignan" 14.4 "24,2" 2011 8 "2011"
"489" "Perpignan" 4 "22,7" 2011 9 "2011"
"490" "Perpignan" 132 "18,3" 2011 10 "2011"
"491" "Perpignan" 330.4 "14,7" 2011 11 "2011"
"492" "Perpignan" 6 "10,9" 2011 12 "2011"
"493" "Perpignan" 20.3 "10" 2012 1 "2012"
"494" "Perpignan" 1.8 "6,3" 2012 2 "2012"
"495" "Perpignan" 53.8 "12,8" 2012 3 "2012"
"496" "Perpignan" 70.4 "13,9" 2012 4 "2012"
"497" "Perpignan" 33.4 "17,9" 2012 5 "2012"
"498" "Perpignan" 12.9 "22,8" 2012 6 "2012"
"499" "Perpignan" 6.8 "23,9" 2012 7 "2012"
"500" "Perpignan" 20.2 "25,3" 2012 8 "2012"
"501" "Perpignan" 36.9 "20,7" 2012 9 "2012"
"502" "Perpignan" 160.1 "17,5" 2012 10 "2012"
"503" "Perpignan" 23.8 "12,2" 2012 11 "2012"
"504" "Perpignan" 8.6 "9,6" 2012 12 "2012"
"505" "Perpignan" 37.9 "8,6" 2013 1 "2013"
"506" "Perpignan" 44.3 "7,5" 2013 2 "2013"
"507" "Perpignan" 137.3 "10,9" 2013 3 "2013"
"508" "Perpignan" 62 "13" 2013 4 "2013"
"509" "Perpignan" 44.1 "15,7" 2013 5 "2013"
"510" "Perpignan" 20.4 "20,5" 2013 6 "2013"
"511" "Perpignan" 39.4 "25,6" 2013 7 "2013"
"512" "Perpignan" 3.4 "25" 2013 8 "2013"
"513" "Perpignan" 23.5 "21,4" 2013 9 "2013"
"514" "Perpignan" 10.8 "18,5" 2013 10 "2013"
"515" "Perpignan" 143.3 "11,5" 2013 11 "2013"
"516" "Perpignan" 7.2 "8,9" 2013 12 "2013"
"517" "Perpignan" 21.8 "10,2" 2014 1 "2014"
"518" "Perpignan" 13.4 "9,8" 2014 2 "2014"
"519" "Perpignan" 13.4 "12,5" 2014 3 "2014"
"520" "Perpignan" 63.3 "16,2" 2014 4 "2014"
"521" "Perpignan" 9.2 "17,5" 2014 5 "2014"
"522" "Perpignan" 5.4 "23,1" 2014 6 "2014"
"523" "Perpignan" 61.1 "23,4" 2014 7 "2014"
"524" "Perpignan" 47 "23,3" 2014 8 "2014"
"525" "Perpignan" 109.9 "22,4" 2014 9 "2014"
"526" "Perpignan" 6.6 "19,4" 2014 10 "2014"
"527" "Perpignan" 265.5 "14,4" 2014 11 "2014"
"528" "Perpignan" 25.1 "9,8" 2014 12 "2014"
